Date,Holiday,Day
3/10/2013,Spring Daylight Saving 2013,Sunday
3/17/2013,St. Patrick's Day 2013,Sunday
3/29/2013,Good Friday 2013,Friday
3/31/2013,Easter 2013,Sunday
4/1/2013,April Fool's Day 2013,Monday
4/1/2013,Easter Monday 2013,Monday
4/22/2013,Earth Day 2013,Monday
5/5/2013,Cinco de Mayo 2013,Sunday
5/12/2013,Mother's Day 2013,Sunday
5/18/2013,Armed Forces Day 2013,Saturday
5/19/2013,Pentecost 2013,Sunday
5/20/2013,Pentecost Monday 2013,Monday
5/27/2013,Memorial Day 2013,Monday
6/14/2013,Flag Day 2013,Friday
6/16/2013,Father's Day 2013,Sunday
7/4/2013,Independence Day 2013,Thursday
7/28/2013,Parents' Day 2013,Sunday
9/2/2013,Labor Day 2013,Monday
9/8/2013,Grandparents' Day 2013,Sunday
9/11/2013,Patriot Day or September 11th 2013,Wednesday
9/16/2013,Stepfamily Day 2013,Monday
9/17/2013,Citizenship Day 2013,Tuesday
9/27/2013,Native American Day 2013,Friday
10/14/2013,Columbus Day 2013,Monday
10/16/2013,Boss's Day 2013,Wednesday
10/19/2013,Sweetest Day 2013,Saturday
10/31/2013,Halloween 2013,Thursday
11/3/2013,Fall Daylight Saving 2013,Sunday
11/11/2013,Veterans' Day 2013,Monday
11/28/2013,Thanksgiving 2013,Thursday
11/29/2013,Black Friday 2013,Friday
12/2/2013,Cyber Monday 2013,Monday
12/7/2013,Pearl Harbor Remembrance Day 2013,Saturday
12/25/2013,Christmas Day 2013,Wednesday
12/31/2013,New Year's Eve 2013,Tuesday
1/1/2014,New Year's Day 2014,Wednesday
1/20/2014,Martin Luther King Day 2014,Monday
1/24/2014,Belly Laugh Day 2014,Friday
2/2/2014,Groundhog Day 2014,Sunday
2/12/2014,Lincoln's Birthday 2014,Wednesday
2/14/2014,Valentine's Day 2014,Friday
2/17/2014,Presidents Day and Washington's Birthday 2014,Monday
3/4/2014,Mardi Gras Carnival 2014,Tuesday
3/9/2014,Spring Daylight Saving 2014,Sunday
3/17/2014,St. Patrick's Day 2014,Monday
4/1/2014,April Fool's Day 2014,Tuesday
4/18/2014,Good Friday 2014,Friday
4/20/2014,Easter 2014,Sunday
4/21/2014,Easter Monday 2014,Monday
4/22/2014,Earth Day 2014,Tuesday
5/5/2014,Cinco de Mayo 2014,Monday
5/11/2014,Mother's Day 2014,Sunday
5/17/2014,Armed Forces Day 2014,Saturday
5/26/2014,Memorial Day 2014,Monday
6/8/2014,Pentecost 2014,Sunday
6/9/2014,Pentecost Monday 2014,Monday
6/14/2014,Flag Day 2014,Saturday
6/15/2014,Father's Day 2014,Sunday
7/4/2014,Independence Day 2014,Friday
7/27/2014,Parents' Day 2014,Sunday
9/1/2014,Labor Day 2014,Monday
9/7/2014,Grandparents' Day 2014,Sunday
9/11/2014,Patriot Day or September 11th 2014,Thursday
9/16/2014,Stepfamily Day 2014,Tuesday
9/17/2014,Citizenship Day 2014,Wednesday
